,mtn_name,elevation,elev_feature,time_of_scrape,local_time_issued,forecast_status,local_time_of_forecast,forecast_time_name,forecast_phrase,wind_speed,snow,rain,max_temp,min_temp,chill,freezing_level,cloud_base
60,flattop,1067,peak,2024-03-27 19:01:00,2024-03-27 09:00:00,forecast,2024-03-29 23:00:00,night,cloudy,30,0.0,0.0,-4,-5,-13,250,100.0
61,flattop,1067,peak,2024-03-27 19:01:00,2024-03-27 09:00:00,forecast,2024-03-30 07:00:00,am,light_snow,45,1.0,0.0,-5,-5,-14,200,650.0
62,flattop,1067,peak,2024-03-27 19:01:00,2024-03-27 09:00:00,forecast,2024-03-30 15:00:00,pm,snow_shwrs,70,2.0,0.0,-4,-4,-15,400,600.0
63,flattop,1067,peak,2024-03-27 18:00:00,2024-03-27 03:00:00,forecast,2024-03-29 07:00:00,am,cloudy,20,0.0,0.0,-5,-5,-11,250,850.0
64,flattop,500,base,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-27 23:00:00,night,cloudy,5,0.0,0.0,-2,-3,-3,0,150.0
65,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,actual,2024-03-25 15:00:00,pm,cloudy,10,0.0,0.0,7,2,-1,2250,6700.0
66,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-25 23:00:00,night,some_clouds,10,0.0,0.0,1,0,-4,1050,2350.0
67,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-26 07:00:00,am,rain_shwrs,10,0.0,0.2,7,5,2,2000,2400.0
68,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-26 15:00:00,pm,rain_shwrs,10,0.0,0.2,7,4,2,2150,2400.0
69,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-26 23:00:00,night,rain_shwrs,10,0.0,1.8,5,4,2,1850,2500.0
70,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-27 07:00:00,am,heavy_rain,0,0.0,10.0,5,4,4,1800,2300.0
71,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-27 15:00:00,pm,rain_shwrs,5,0.0,7.0,4,3,1,1550,2250.0
72,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-27 23:00:00,night,rain_shwrs,10,0.0,0.7,2,-1,-4,850,2300.0
73,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-28 07:00:00,am,rain_shwrs,10,0.0,4.0,5,4,2,1600,2300.0
74,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-28 15:00:00,pm,rain_shwrs,15,0.0,0.5,6,3,0,1850,5400.0
75,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-28 23:00:00,night,some_clouds,10,0.0,0.0,3,2,-1,1500,4450.0
76,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-29 07:00:00,am,some_clouds,10,0.0,0.0,8,6,4,2800,2300.0
77,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-29 15:00:00,pm,cloudy,15,0.0,0.0,8,6,4,2850,2350.0
78,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-29 23:00:00,night,rain_shwrs,15,0.0,0.8,7,6,3,2200,2250.0
79,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-30 07:00:00,am,rain_shwrs,10,0.0,6.0,10,8,6,2200,2400.0
80,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-30 15:00:00,pm,rain_shwrs,10,0.0,0.6,9,7,6,2350,2350.0
81,mont_blanc,1000,base,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-30 23:00:00,night,rain_shwrs,5,0.0,0.6,7,5,2,2150,2400.0
82,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,actual,2024-03-27 15:00:00,pm,snow_shwrs,5,1.0,5.0,3,1,0,1500,2250.0
83,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-27 23:00:00,night,snow_shwrs,10,1.0,0.0,0,-2,-5,800,2250.0
84,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-28 07:00:00,am,mod._rain,10,0.0,10.0,3,2,-1,1400,2300.0
85,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-28 23:00:00,night,some_clouds,10,0.0,0.0,3,0,-3,1150,5300.0
86,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-29 07:00:00,am,cloudy,10,0.0,0.0,7,5,2,2450,2250.0
87,mont_blanc,1000,base,2024-03-26 06:00:00,2024-03-26 12:00:00,actual,2024-03-25 23:00:00,night,some_clouds,10,0.0,0.0,2,0,-4,1100,2350.0
88,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-29 15:00:00,pm,rain_shwrs,15,0.0,0.1,6,6,3,2550,2300.0
89,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-29 23:00:00,night,rain_shwrs,10,0.0,1.0,6,5,2,2000,2250.0
90,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-30 07:00:00,am,rain_shwrs,10,0.0,3.0,8,8,6,2350,2300.0
91,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-30 15:00:00,pm,light_rain,10,0.0,4.0,7,6,5,2150,2350.0
92,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-30 23:00:00,night,rain_shwrs,5,0.0,3.0,6,5,5,1850,2250.0
93,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-31 07:00:00,am,rain_shwrs,10,0.0,0.8,8,7,5,2100,2250.0
94,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,actual,2024-03-26 07:00:00,am,rain_shwrs,10,0.0,0.2,7,5,2,1950,2350.0
95,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-26 15:00:00,pm,rain_shwrs,10,0.0,0.1,7,4,2,2150,2350.0
96,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-26 23:00:00,night,light_rain,10,0.0,1.5,4,4,2,1900,2450.0
97,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-27 07:00:00,am,heavy_rain,0,0.0,11.0,5,4,3,1700,2250.0
98,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-27 15:00:00,pm,mod._rain,10,0.0,7.0,4,2,0,1550,2250.0
99,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-27 23:00:00,night,rain_shwrs,10,0.0,1.1,2,-1,-4,900,2250.0
100,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-28 07:00:00,am,rain_shwrs,10,0.0,7.0,3,3,0,1400,2250.0
101,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-28 15:00:00,pm,rain_shwrs,10,0.0,0.4,3,0,-3,1450,2700.0
102,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-28 23:00:00,night,light_rain,10,0.0,0.8,4,0,-3,1300,2700.0
103,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-29 07:00:00,am,some_clouds,10,0.0,0.0,7,5,2,2550,2700.0
104,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-29 15:00:00,pm,cloudy,10,0.0,0.0,7,5,2,2850,2300.0
105,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-29 23:00:00,night,rain_shwrs,10,0.0,0.7,6,5,2,2000,2250.0
106,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-30 07:00:00,am,rain_shwrs,10,0.0,3.0,9,8,6,2450,2250.0
107,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-30 15:00:00,pm,rain_shwrs,10,0.0,6.0,8,6,5,2300,2300.0
108,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-30 23:00:00,night,rain_shwrs,10,0.0,0.2,6,5,3,2100,2300.0
109,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-31 07:00:00,am,rain_shwrs,10,0.0,0.2,7,7,5,2300,2350.0
110,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-31 15:00:00,pm,light_rain,10,0.0,0.4,7,6,4,2250,2500.0
111,mont_blanc,1000,base,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-31 23:00:00,night,heavy_rain,5,0.0,19.0,6,3,1,2000,2400.0
112,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-31 15:00:00,pm,light_rain,10,0.0,0.6,7,6,4,2250,2350.0
