fact_forecasts_actual_key,wind_speed,chill
6e8a05c85436076bd1ada1c9368068ee,10,-18
4daffd7baddf59591c144eea0e0bc82b,10,-24
07076fcec291c8d982adcba52ecc73e3,10,-20
e79ba675aaef19962a6f0701b9fd9940,10,-24
7cbbfe910a8925ea72dad1b67c9b6a1e,10,-16
70b9eba29ebb27ed974d1d0d4d496b0a,10,-18
28f3599a0e33e77b5855cd4f66723ec3,10,-12
5ab6b9b4a4551297cbcf01dbaec13ab8,10,-19
f0a43b7858dd99afad0fe9bc14ad7225,10,-17
f3cd48ab24403a7f70393333fbfb4ceb,10,-18
edf21a56f061611577f78a6e502974bc,10,-19
2bb1d175d20ae96d0a0d2122651870e9,10,-17
d729478d3813654b2132a77d8509709a,7.5,-17.5
8bb17f842a19954823d37d8fb839fffb,7.5,-27
d8488424165ea6a328c3e49939ec45bb,7.5,-27.5
01d1306f23681adc936cdb485fb29fcf,5,-20
f37502aa9ceaedc307afa14074fec037,5,-15
8e160d24b4bb6d5c8e4b4b90aa9feec9,5,-17.5
aa50b711e1e62c5f9bbaa4f281dda2aa,5,-16
ef16456dd1ef5055bd2534131cc07ddd,5,-13
9063ff47387647e031fe2bbae9aa4cb6,5,-15
0a6c0c33ac181a043bb84b341ba0faf4,5,-13
b8a5d97e0304a281f53d6fb08881ec46,5,-17
a28089c3c5e542d7cb17a187bd61c6ab,5,-15.5
f4168a85dfd0d32ef2988198e4ce54cd,5,-23
b4dbe766da22e1fa6acd90a0badc66ee,5,-21
29c95f38082f4a432f94e8ac9c8df666,5,-12
381ac3af1f60bf729886c7bdf84d74fb,5,-22
3b90be712b8f0ea5969196b39c20c969,5,-17
6c9df7d3d7bb49598f2354017227b267,5,-16.5
8dcc876e7c7d7ec6ffdb1ddfc14cd461,5,-16
1fa925ab6d3062374b65cbc820ce8deb,5,-15
b7b817df9bba57daa45fa2bd8981ac7e,5,-20
4f237842a904b1d7c9d4d829a6c4a713,5,-18
ec3631cee0f30c06cc439945ea4f40dd,5,-18
caabdff0de4e11ac9de4cdeb2c2027a9,5,-18
3370f8dff71cc22e788821a2c16633b4,2.5,-20.5
8793686d1b738404d2f2ee47e9bb57b4,0,-22
87ab24df8dd1d826f8013af2ea750d3d,0,-17
d872e1a42a03a1bb0aed476518e12b51,0,-16
